Team,Stadion,Ort,Kapazität
Borussia Dortmund,SIGNAL IDUNA PARK,Dortmund,81365
FC Bayern München,Allianz Arena,München,75000
VfB Stuttgart,MHPArena Stuttgart,Stuttgart,60449
Eintracht Frankfurt,Deutsche Bank Park,Frankfurt (Main),59500
Hamburger SV,Volksparkstadion,Hamburg,57000
Borussia Mönchengladbach,Stadion im Borussia-Park,Mönchengladbach,54042
1.FC Köln,RheinEnergieSTADION,Köln,50000
RB Leipzig,Red Bull Arena,Leipzig,47069
SV Werder Bremen,Weserstadion,Bremen,42100
SC Freiburg,Europa-Park Stadion,Freiburg,34700
1.FSV Mainz 05,Mewa Arena,Mainz,33305
FC Augsburg,WWK ARENA,Augsburg,30660
Bayer 04 Leverkusen,BayArena,Leverkusen,30210
TSG 1899 Hoffenheim,PreZero Arena,Sinsheim,30150
FC St. Pauli,Millerntor-Stadion,Hamburg,29546
VfL Wolfsburg,Volkswagen Arena,Wolfsburg,28917
1.FC Union Berlin,Stadion An der Alten Försterei,Berlin,22012
1.FC Heidenheim 1846,Voith-Arena,Heidenheim,15000
FC Bayern München,Bayern München,9,29
RB Leipzig,RB Leipzig,9,9
Borussia Dortmund,Bor. Dortmund,9,9
VfB Stuttgart,VfB Stuttgart,9,4
Bayer 04 Leverkusen,B. Leverkusen,9,4
TSG 1899 Hoffenheim,TSG Hoffenheim,9,3
1.FC Köln,1.FC Köln,9,4
Eintracht Frankfurt,E. Frankfurt,9,3
SV Werder Bremen,Werder Bremen,9,-4
1.FC Union Berlin,Union Berlin,9,-4
SC Freiburg,SC Freiburg,9,-2
VfL Wolfsburg,VfL Wolfsburg,9,-5
Hamburger SV,Hamburger SV,9,-7
FC Augsburg,FC Augsburg,9,-9
FC St. Pauli,FC St. Pauli,9,-10
Borussia Mönchengladbach,Bor. M'gladbach,9,-8
1.FSV Mainz 05,1.FSV Mainz 05,9,-7
1.FC Heidenheim 1846,1.FC Heidenheim,9,-9
Hertha BSC,Olympiastadion Berlin,Berlin,74667
FC Schalke 04,Veltins-Arena,Gelsenkirchen,62278
Fortuna Düsseldorf,MERKUR SPIEL-ARENA,Düsseldorf,54600
1.FC Nürnberg,Max-Morlock-Stadion,Nürnberg,50000
1.FC Kaiserslautern,Fritz-Walter-Stadion,Kaiserslautern,49350
Hannover 96,Heinz-von-Heiden-Arena,Hannover,49000
Karlsruher SC,BBBank Wildpark,Karlsruhe,33180
SG Dynamo Dresden,Rudolf-Harbig-Stadion,Dresden,32123
1.FC Magdeburg,Avnet-Arena,Magdeburg,30098
Arminia Bielefeld,SchücoArena,Bielefeld,27332
VfL Bochum,Vonovia Ruhrstadion,Bochum,26000
Eintracht Braunschweig,EINTRACHT-Stadion,Braunschweig,23325
SV Darmstadt 98,Merck-Stadion am Böllenfalltor,Darmstadt,17810
SpVgg Greuther Fürth,Sportpark Ronhof | Thomas Sommer,Fürth,16626
Holstein Kiel,Holstein-Stadion,Kiel,15034
SC Paderborn 07,Home Deluxe Arena,Paderborn,15000
Preußen Münster,LVM-Preußenstadion,Münster,12794
SV 07 Elversberg,Ursapharm-Arena an der Kaiserlinde,Spiesen-Elversberg,9307
SC Paderborn 07,SC Paderborn,11,9
FC Schalke 04,FC Schalke 04,11,8
SV 07 Elversberg,SV Elversberg,11,14
Hannover 96,Hannover 96,11,5
Karlsruher SC,Karlsruher SC,11,5
1.FC Kaiserslautern,1.FC K'lautern,11,7
SV Darmstadt 98,Darmstadt 98,11,7
Hertha BSC,Hertha BSC,11,4
Arminia Bielefeld,Arm. Bielefeld,11,3
Preußen Münster,Pr. Münster,11,-3
Holstein Kiel,Holstein Kiel,11,0
1.FC Nürnberg,1.FC Nürnberg,11,-4
Fortuna Düsseldorf,F. Düsseldorf,11,-9
VfL Bochum,VfL Bochum,11,-4
Eintracht Braunschweig,E. Braunschweig,11,-10
SpVgg Greuther Fürth,Greuther Fürth,11,-13
SG Dynamo Dresden,Dynamo Dresden,11,-7
1.FC Magdeburg,1.FC Magdeburg,11,-12
Alemannia Aachen,Tivoli,Aachen,32960
MSV Duisburg,Schauinsland-Reisen-Arena,Duisburg,31502
FC Hansa Rostock,Ostseestadion,Rostock,29000
SV Waldhof Mannheim,Carl-Benz-Stadion,Mannheim,25721
FC Energie Cottbus,LEAG Energie Stadion,Cottbus,20602
Rot-Weiss Essen,Stadion an der Hafenstraße,Essen,19962
TSV Havelse,Eilenriedestadion,Hannover,18500
SSV Ulm 1846,Donaustadion,Ulm,17400
1.FC Schweinfurt 05,Riedel Bau Arena im Sachs Stadion,Schweinfurt,16500
VfL Osnabrück,Bremer Brücke,Osnabrück,16098
1.FC Saarbrücken,Ludwigsparkstadion,Saarbrücken,16003
FC Erzgebirge Aue,eins Erzgebirgsstadion,Aue-Bad Schlema,15500
SSV Jahn Regensburg,Jahnstadion Regensburg,Regensburg,15210
FC Ingolstadt 04,Audi Sportpark,Ingolstadt,15200
TSV 1860 München,Städtisches Stadion an der Grünwalder Straße,München-Giesing,15000
SV Wehen Wiesbaden,BRITA-Arena,Wiesbaden,12518
FC Viktoria Köln,Sportpark Höhenberg,Köln,8343
VfB Stuttgart II,WIRmachenDRUCK Arena,Großaspach,7768
TSG 1899 Hoffenheim II,Dietmar-Hopp-Stadion,Sinsheim-Hoffenheim,6350
SC Verl,SPORTCLUB Arena,Verl,5153
MSV Duisburg,MSV Duisburg,13,11
FC Energie Cottbus,Energie Cottbus,13,9
SC Verl,SC Verl,13,9
VfL Osnabrück,VfL Osnabrück,13,6
Rot-Weiss Essen,RW Essen,13,4
TSG 1899 Hoffenheim II,Hoffenheim II,13,9
VfB Stuttgart II,Stuttgart II,13,1
FC Viktoria Köln,Viktoria Köln,13,5
SV Waldhof Mannheim,W. Mannheim,13,2
1.FC Saarbrücken,Saarbrücken,13,2
SV Wehen Wiesbaden,Wehen Wiesbaden,13,1
FC Hansa Rostock,Hansa Rostock,13,1
TSV 1860 München,1860 München,13,0
FC Ingolstadt 04,FC Ingolstadt,13,4
Alemannia Aachen,Alem. Aachen,13,-1
FC Erzgebirge Aue,Erzgebirge Aue,13,-7
SSV Jahn Regensburg,J. Regensburg,13,-6
SSV Ulm 1846,SSV Ulm 1846,13,-9
TSV Havelse,TSV Havelse,13,-16
1.FC Schweinfurt 05,Schweinfurt 05,13,-25
